name,start_month,start_day,peak_month,peak_day,end_month,end_day,ra_deg,dec_deg,zhr,speed_kms
Quadrantids,12,28,1,3,1,12,230,49,80,41
Lyrids,4,14,4,22,4,30,271,34,18,49
Eta Aquariids,4,19,5,6,5,28,338,-1,50,66
June Bootids,6,22,6,27,7,2,224,48,5,18
Southern Delta Aquariids,7,12,7,30,8,23,340,-16,25,41
Alpha Capricornids,7,3,7,30,8,15,307,-10,5,23
Perseids,7,17,8,12,8,24,48,58,100,59
Draconids,10,6,10,8,10,10,262,54,10,20
Orionids,10,2,10,21,11,7,95,16,20,66
Southern Taurids,9,10,11,5,11,20,52,15,5,27
Northern Taurids,10,20,11,12,12,10,58,22,5,29
Leonids,11,6,11,17,11,30,152,22,15,71
Geminids,12,4,12,14,12,20,112,33,150,34
Ursids,12,17,12,22,12,26,217,76,10,33
